nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix_buf500k.yaml, seed=0, device=cuda
step   73500 | wellbeing 0.266 | wm_loss 1.8312 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 77 | eps 1.00
step   74000 | wellbeing 0.000 | wm_loss 1.8267 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 77 | eps 1.00
step   74500 | wellbeing 0.159 | wm_loss 1.7725 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 78 | eps 1.00
step   75000 | wellbeing 0.078 | wm_loss 1.7977 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 79 | eps 1.00
step   75500 | wellbeing 0.421 | wm_loss 1.8241 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 80 | eps 1.00
step   76000 | wellbeing 0.001 | wm_loss 1.8073 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 80 | eps 1.00
step   76500 | wellbeing 0.126 | wm_loss 1.7755 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 0 | morts 81 | eps 1.00
step   77000 | wellbeing 0.070 | wm_loss 1.8391 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 3 | morts 81 | eps 1.00
step   77500 | wellbeing 0.010 | wm_loss 1.8252 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 82 | eps 1.00
step   78000 | wellbeing 0.322 | wm_loss 1.8021 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 83 | eps 1.00
step   78500 | wellbeing 0.000 | wm_loss 1.8136 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 83 | eps 1.00
step   79000 | wellbeing 0.000 | wm_loss 1.8468 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 83 | eps 1.00
step   79500 | wellbeing 0.000 | wm_loss 1.7821 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 83 | eps 1.00
step   80000 | wellbeing 0.000 | wm_loss 1.7928 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 83 | eps 1.00
step   80500 | wellbeing 0.000 | wm_loss 1.8089 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 83 | eps 1.00
step   81000 | wellbeing 0.000 | wm_loss 1.7764 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 83 | eps 1.00
step   81500 | wellbeing 0.007 | wm_loss 1.8221 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 83 | eps 1.00
step   82000 | wellbeing 0.000 | wm_loss 1.7757 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 83 | eps 1.00
step   82500 | wellbeing 0.000 | wm_loss 1.7768 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 83 | eps 1.00
step   83000 | wellbeing 0.000 | wm_loss 1.7493 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 83 | eps 1.00
step   83500 | wellbeing 0.011 | wm_loss 1.8019 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 83 | eps 1.00
step   84000 | wellbeing 0.000 | wm_loss 1.7733 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 83 | eps 1.00
step   84500 | wellbeing 0.000 | wm_loss 1.7571 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 83 | eps 1.00
step   85000 | wellbeing 0.000 | wm_loss 1.8176 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 83 | eps 1.00
step   85500 | wellbeing 0.002 | wm_loss 1.7871 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 83 | eps 1.00
step   86000 | wellbeing 0.000 | wm_loss 1.7952 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 83 | eps 1.00
step   86500 | wellbeing 0.000 | wm_loss 1.7568 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 83 | eps 1.00
step   87000 | wellbeing 0.000 | wm_loss 1.7743 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 3 | morts 83 | eps 1.00
